user_loc,fr_loc,scaled_sci
United Arab Emirates,United Arab Emirates,1117179
United Arab Emirates,Antigua and Barbuda,5488
United Arab Emirates,Albania,2101
United Arab Emirates,Armenia,3580
United Arab Emirates,Angola,2326
United Arab Emirates,Argentina,737
United Arab Emirates,Austria,4558
United Arab Emirates,Australia,11931
United Arab Emirates,Aruba,3359
United Arab Emirates,Azerbaijan,2948
United Arab Emirates,Bosnia and Herzegovina,4792
United Arab Emirates,Barbados,3349
United Arab Emirates,Bangladesh,88757
United Arab Emirates,Belgium,4375
United Arab Emirates,Burkina Faso,3603
United Arab Emirates,Bulgaria,2492
United Arab Emirates,Bahrain,255056
United Arab Emirates,Burundi,14203
United Arab Emirates,Benin,5494
United Arab Emirates,Brunei Darussalam,33017
United Arab Emirates,"Bolivia, Plurinational State of",591
United Arab Emirates,Brazil,1050
United Arab Emirates,Bahamas,4183
United Arab Emirates,Bhutan,16748
United Arab Emirates,Botswana,3898
United Arab Emirates,Belarus,3559
United Arab Emirates,Belize,1892
United Arab Emirates,Canada,13566
United Arab Emirates,"Congo, The Democratic Republic of the",3815
United Arab Emirates,Central African Republic,7176
United Arab Emirates,Congo,5201
United Arab Emirates,Switzerland,6828
United Arab Emirates,Côte d'Ivoire,4175
United Arab Emirates,Chile,522
United Arab Emirates,Cameroon,47317
United Arab Emirates,Colombia,1321
United Arab Emirates,Costa Rica,1198
United Arab Emirates,Cabo Verde,1508
United Arab Emirates,Curaçao,2947
United Arab Emirates,Cyprus,27722
United Arab Emirates,Czechia,1689
United Arab Emirates,Germany,5178
United Arab Emirates,Djibouti,21054
United Arab Emirates,Denmark,4301
United Arab Emirates,Dominican Republic,1376
United Arab Emirates,Algeria,3296
United Arab Emirates,Ecuador,691
United Arab Emirates,Estonia,2793
United Arab Emirates,Egypt,40485
United Arab Emirates,Spain,3543
United Arab Emirates,Ethiopia,138056
United Arab Emirates,Finland,3102
United Arab Emirates,Fiji,4257
United Arab Emirates,"Micronesia, Federated States of",3269
United Arab Emirates,France,4320
United Arab Emirates,Gabon,6234
United Arab Emirates,United Kingdom,13775
United Arab Emirates,Grenada,3309
United Arab Emirates,Georgia,2998
United Arab Emirates,French Guiana,1926
United Arab Emirates,Ghana,36041
United Arab Emirates,Gambia,20084
United Arab Emirates,Guinea,8402
United Arab Emirates,Guadeloupe,1567
United Arab Emirates,Equatorial Guinea,16645
United Arab Emirates,Greece,11261
United Arab Emirates,Guatemala,463
United Arab Emirates,Guam,19749
United Arab Emirates,Guinea-Bissau,5271
United Arab Emirates,Guyana,3050
United Arab Emirates,Hong Kong,11489
United Arab Emirates,Honduras,982
United Arab Emirates,Croatia,3023
United Arab Emirates,Haiti,1636
United Arab Emirates,Hungary,2121
United Arab Emirates,Indonesia,4581
United Arab Emirates,Ireland,19662
United Arab Emirates,Isle of Man,12160
United Arab Emirates,India,36329
United Arab Emirates,Iceland,4447
United Arab Emirates,Italy,6228
United Arab Emirates,Jersey,11772
United Arab Emirates,Jamaica,3718
United Arab Emirates,Jordan,59018
United Arab Emirates,Japan,3520
United Arab Emirates,Kenya,22943
United Arab Emirates,Kyrgyzstan,5344
United Arab Emirates,Cambodia,1207
United Arab Emirates,Kiribati,1935
United Arab Emirates,Comoros,10251
United Arab Emirates,"Korea, Republic of",3160
United Arab Emirates,Kuwait,139864
United Arab Emirates,Cayman Islands,38058
United Arab Emirates,Kazakhstan,2306
United Arab Emirates,Lao People's Democratic Republic,1084
United Arab Emirates,Lebanon,85463
United Arab Emirates,Saint Lucia,3846
United Arab Emirates,Sri Lanka,66289
United Arab Emirates,Liberia,34308
United Arab Emirates,Lesotho,1471
United Arab Emirates,Lithuania,2181
United Arab Emirates,Luxembourg,7886
United Arab Emirates,Latvia,2783
United Arab Emirates,Libya,8465
United Arab Emirates,Morocco,12031
United Arab Emirates,"Moldova, Republic of",2778
United Arab Emirates,Montenegro,6573
United Arab Emirates,Madagascar,2933
United Arab Emirates,North Macedonia,5852
United Arab Emirates,Mali,4466
United Arab Emirates,Myanmar,1562
United Arab Emirates,Mongolia,720
United Arab Emirates,Macao,21533
United Arab Emirates,Martinique,1210
United Arab Emirates,Mauritania,29444
United Arab Emirates,Malta,30733
United Arab Emirates,Mauritius,14615
United Arab Emirates,Maldives,78830
United Arab Emirates,Malawi,4583
United Arab Emirates,Mexico,557
United Arab Emirates,Malaysia,13943
United Arab Emirates,Mozambique,2621
United Arab Emirates,New Caledonia,909
United Arab Emirates,Niger,5671
United Arab Emirates,Nigeria,22605
United Arab Emirates,Nicaragua,973
United Arab Emirates,Netherlands,4720
United Arab Emirates,Norway,4876
United Arab Emirates,Nepal,108188
United Arab Emirates,New Zealand,14042
United Arab Emirates,Oman,265165
United Arab Emirates,Panama,1256
United Arab Emirates,Peru,568
United Arab Emirates,French Polynesia,1285
United Arab Emirates,Papua New Guinea,2393
United Arab Emirates,Philippines,53588
United Arab Emirates,Pakistan,160504
United Arab Emirates,Poland,1322
United Arab Emirates,Puerto Rico,714
United Arab Emirates,Portugal,5690
United Arab Emirates,Paraguay,1591
United Arab Emirates,Qatar,295897
United Arab Emirates,Réunion,1680
United Arab Emirates,Romania,3768
United Arab Emirates,Serbia,7238
United Arab Emirates,Rwanda,15677
United Arab Emirates,Saudi Arabia,141906
United Arab Emirates,Solomon Islands,2038
United Arab Emirates,Seychelles,54434
United Arab Emirates,Sweden,6753
United Arab Emirates,Singapore,28739
