 user_loc,fr_loc,scaled_sci
AE,AE,1117179
AE,AG,5488
AE,AL,2101
AE,AM,3580
AE,AO,2326
AE,AR,737
AE,AT,4558
AE,AU,11931
AE,AW,3359
AE,AZ,2948
AE,BA,4792
AE,BB,3349
AE,BD,88757
AE,BE,4375
AE,BF,3603
AE,BG,2492
AE,BH,255056
AE,BI,14203
AE,BJ,5494
AE,BN,33017
AE,BO,591
AE,BR,1050
AE,BS,4183
AE,BT,16748
AE,BW,3898
AE,BY,3559
AE,BZ,1892
AE,CA,13566
AE,CD,3815
AE,CF,7176
AE,CG,5201
AE,CH,6828
AE,CI,4175
AE,CL,522
AE,CM,47317
AE,CO,1321
AE,CR,1198
AE,CV,1508
AE,CW,2947
AE,CY,27722
AE,CZ,1689
AE,DE,5178
AE,DJ,21054
AE,DK,4301
AE,DO,1376
AE,DZ,3296
AE,EC,691
AE,EE,2793
AE,EG,40485
AE,ES,3543
AE,ET,138056
AE,FI,3102
AE,FJ,4257
AE,FM,3269
AE,FR,4320
AE,GA,6234
AE,GB,13775
AE,GD,3309
AE,GE,2998
AE,GF,1926
AE,GH,36041
AE,GM,20084
AE,GN,8402
AE,GP,1567
AE,GQ,16645
AE,GR,11261
AE,GT,463
AE,GU,19749
AE,GW,5271
AE,GY,3050
AE,HK,11489
AE,HN,982
AE,HR,3023
AE,HT,1636
AE,HU,2121
AE,ID,4581
AE,IE,19662
AE,IM,12160
AE,IN,36329
AE,IS,4447
AE,IT,6228
AE,JE,11772
AE,JM,3718
AE,JO,59018
AE,JP,3520
AE,KE,22943
AE,KG,5344
AE,KH,1207
AE,KI,1935
AE,KM,10251
AE,KR,3160
AE,KW,139864
AE,KY,38058
AE,KZ,2306
AE,LA,1084
AE,LB,85463
AE,LC,3846
AE,LK,66289
AE,LR,34308
AE,LS,1471
AE,LT,2181
AE,LU,7886
AE,LV,2783
AE,LY,8465
AE,MA,12031
AE,MD,2778
AE,ME,6573
AE,MG,2933
AE,MK,5852
AE,ML,4466
AE,MM,1562
AE,MN,720
AE,MO,21533
AE,MQ,1210
AE,MR,29444
AE,MT,30733
AE,MU,14615
AE,MV,78830
AE,MW,4583
AE,MX,557
AE,MY,13943
AE,MZ,2621
AE,NA,5605
AE,NC,909
AE,NE,5671
AE,NG,22605
AE,NI,973
AE,NL,4720
AE,NO,4876
AE,NP,108188
AE,NZ,14042
AE,OM,265165
AE,PA,1256
AE,PE,568
AE,PF,1285
AE,PG,2393
AE,PH,53588
AE,PK,160504
AE,PL,1322
AE,PR,714
AE,PT,5690
AE,PY,1591
AE,QA,295897
AE,RE,1680
AE,RO,3768
AE,RS,7238
AE,RW,15677
AE,SA,141906
AE,SB,2038
AE,SC,54434
AE,SE,6753
AE,SG,28739
AE,SI,2715
AE,SK,1683
AE,SL,62163
AE,SN,5759
AE,SR,2111
AE,ST,1670
AE,SV,767
AE,SZ,3188
AE,TD,13507
AE,TG,14468
AE,TH,2584
AE,TJ,6842
AE,TL,1597
AE,TN,10397
AE,TO,1401
AE,TR,4802
AE,TT,3553
AE,TW,2650
AE,TZ,9269
AE,UA,2479
AE,UG,219939
AE,US,3616
AE,UY,925
AE,UZ,5155
AE,VC,2606
AE,VN,1440
AE,VU,1045
AE,WS,1496
AE,XK,1863
AE,YT,5184
AE,ZA,6344
