correlation,hscode,product
0.1202220558432426,2617,Ores and concentrates
0.10563657611963924,2913,"""Aldehydes"""
0.08455815768660506,3706,Cinematographic film
0.07489189292147946,2605,Cobalt ores and concentrates
0.07249131209494135,4601,Plaits
0.06196334057421962,5809,Fabrics
0.049957739473724797,2827,Chlorides
0.04951849133858667,2610,Chromium ores
0.03876513637381004,5606,Yarn
0.030426619370617386,4205,Leather
0.022685481637598162,1522,Degras
0.02146399847480766,2518,Dolomite
0.019832964566716307,6603,Trimmings
0.016961894613769454,1060,Rice in husk
0.014473429177491452,2706,Tar
0.014378377247529446,2708,Pitch and pitch coke
0.01300153924814635,1041,Rye
0.012352108961945538,2519,Magnesite
0.012015374040991698,2509,Chalk
0.01163972124997176,1803,Cocoa
0.011030633191545146,5905,Textile wall coverings
0.009625951665402786,4415,Packing cases
0.008014502344345701,1011,Wheat or meslin
0.007515950611021566,2523,Aluminous cement
0.007446966270695309,5910,Reinforced Textiles
0.006720836413824527,4501,Natural cork
0.006714032004041222,1042,Broken Rice
0.005841815429049439,1206,Sunflower seeds
0.005508304267988365,5609,Articles of yarn
0.0031625299221954848,2104,Soups and broths
0.0025222237525914606,2505,Sands
0.0017611692843157336,5802,Terry fabrics
0.0014141764718039885,2517,"""Gravel, crushed stone"""
0.0006892019824560232,2710,Petroleum oils
0.0005261311786004416,1101,Wheat or meslin flour
