Origin	Destination	Migration #	state_to_state_sci
Alabama	Alaska	780	1989.3551209469897
Alabama	Arizona	4470	1088.4845771144278
Alabama	Arkansas	1584	3346.169751243781
Alabama	California	4921	794.4390118373649
Alabama	Colorado	1601	1625.2691231343283
Alabama	Connecticut	283	954.0429104477612
Alabama	Delaware	330	1497.7860696517414
Alabama	District of Columbia 	273	2478.432835820895
Alabama	Florida	17515	11758.723991980398
Alabama	Georgia	19270	26354.964704778
Alabama	Hawaii	775	1161.6194029850749
Alabama	Idaho	105	1028.7184531886026
Alabama	Illinois	3362	1859.99634182031
Alabama	Indiana	1488	1834.7837443218689
Alabama	Iowa	151	1110.0955826925976
Alabama	Kansas	373	1658.7287846481877
Alabama	Kentucky	1806	2959.0228855721393
Alabama	Louisiana	2410	5404.22901119403
Alabama	Maine	0	976.463619402985
Alabama	Maryland	457	1539.214552238806
Alabama	Massachusetts	504	758.6545842217485
Alabama	Michigan	1858	1289.5263441827008
Alabama	Minnesota	1224	1071.319094184251
Alabama	Mississippi	8391	32644.69639606844
Alabama	Missouri	1983	1880.6075275794935
Alabama	Montana	347	1324.7324093816633
Alabama	Nebraska	295	1184.3814796982829
Alabama	Nevada	1456	1392.8042142230026
Alabama	New Hampshire	152	810.1925373134328
Alabama	New Jersey	548	898.594171997157
Alabama	New Mexico	600	1458.3324287652645
Alabama	New York	2701	1116.7014925373137
Alabama	North Carolina	3656	2704.4910447761195
Alabama	North Dakota	128	1269.5809631089833
Alabama	Ohio	1993	1588.4565807327
Alabama	Oklahoma	481	2029.007753440589
Alabama	Oregon	1416	1015.8441127694858
Alabama	Pennsylvania	1341	1054.6547115170415
Alabama	Rhode Island	213	808.6417910447761
Alabama	South Carolina	1642	3865.7608695652175
Alabama	South Dakota	62	1023.06671189507
Alabama	Tennessee	12640	9419.036606441476
Alabama	Texas	7504	1936.6970266776352
Alabama	Utah	497	1031.1981471950592
Alabama	Vermont	0	829.2494669509595
Alabama	Virginia	3171	2180.8013690943776
Alabama	Washington	1586	879.4010715652507
Alabama	West Virginia	311	1704.8561736770691
Alabama	Wisconsin	718	904.8188225538972
Alabama	Wyoming	49	1575.4419208306294
Alaska	Alabama	204	1989.3551209469892
Alaska	Arizona	618	6126.503448275862
Alaska	Arkansas	159	2640.5668965517243
Alaska	California	4697	5160.637336504162
Alaska	Colorado	1087	10287.685344827589
Alaska	Connecticut	0	1944.021551724138
Alaska	Delaware	258	1396.4942528735633
Alaska	District of Columbia 	220	2868.7241379310344
Alaska	Florida	1380	2397.924858466289
Alaska	Georgia	411	1936.6128822381263
Alaska	Hawaii	1023	14096.586206896553
Alaska	Idaho	803	21929.047021943577
Alaska	Illinois	73	1700.7947937795807
Alaska	Indiana	486	1487.830584707646
Alaska	Iowa	33	2132.8300243817484
Alaska	Kansas	1200	3044.662068965517
Alaska	Kentucky	781	1368.364367816092
Alaska	Louisiana	198	2337.9391163793102
Alaska	Maine	0	4878.456896551724
Alaska	Maryland	201	1608.9755747126435
Alaska	Massachusetts	353	2259.613300492611
Alaska	Michigan	152	4020.187785625259
Alaska	Minnesota	611	5026.548553309552
Alaska	Mississippi	174	1940.2628259041212
Alaska	Missouri	107	2425.40179910045
Alaska	Montana	936	19530.63669950739
Alaska	Nebraska	387	3696.6588802373008
Alaska	Nevada	98	8498.750507099392
Alaska	New Hampshire	18	3115.3241379310343
Alaska	New Jersey	513	1189.857142857143
Alaska	New Mexico	22	5154.652037617555
Alaska	New York	1232	2188.4538375973307
Alaska	North Carolina	1410	2437.513103448276
Alaska	North Dakota	156	7430.036434612883
Alaska	Ohio	601	1398.3342476489029
Alaska	Oklahoma	275	2665.7044334975367
Alaska	Oregon	3187	16993.42337164751
Alaska	Pennsylvania	213	2176.5692228512607
Alaska	Rhode Island	0	1866.110344827586
Alaska	South Carolina	211	1613.299100449775
Alaska	South Dakota	94	5984.184952978057
Alaska	Tennessee	340	2220.8050816696914
Alaska	Texas	980	2251.1732283464567
Alaska	Utah	561	11230.862068965518
Alaska	Vermont	45	4580.394088669951
Alaska	Virginia	1331	2160.554057557687
Alaska	Washington	2283	21864.81697612732
Alaska	West Virginia	0	1691.9115987460814
Alaska	Wisconsin	34	3378.992337164751
Alaska	Wyoming	520	11986.87256371814
Arizona	Alabama	1373	1088.4845771144278
Arizona	Alaska	2017	6126.503448275862
Arizona	Arkansas	1896	1686.512888888889
Arizona	California	54222	4180.051724137931
Arizona	Colorado	8344	8088.522916666667
Arizona	Connecticut	1085	1038.5166666666669
Arizona	Delaware	514	1083.9333333333334
Arizona	District of Columbia 	74	1565.1333333333334
Arizona	Florida	12762	1314.8487562189052
Arizona	Georgia	6326	1135.254926624738
Arizona	Hawaii	2226	4176.966666666666
Arizona	Idaho	5132	7753.859090909091
Arizona	Illinois	9030	1680.8797385620917
Arizona	Indiana	2974	1447.0384057971014
Arizona	Iowa	6805	2179.645117845118
Arizona	Kansas	3383	2952.127619047619
Arizona	Kentucky	1666	1164.4894444444444
Arizona	Louisiana	2514	1274.5614583333331
Arizona	Maine	350	1574.725
Arizona	Maryland	1972	1157.7694444444446
Arizona	Massachusetts	3316	1070.442857142857
Arizona	Michigan	6740	1753.8851405622488
Arizona	Minnesota	5582	2307.6114942528734
Arizona	Mississippi	816	1260.111382113821
Arizona	Missouri	7390	2073.941449275362
Arizona	Montana	2261	8347.84761904762
Arizona	Nebraska	2694	3603.296774193549
Arizona	Nevada	6341	12093.0431372549
Arizona	New Hampshire	612	1452.5466666666666
Arizona	New Jersey	2082	855.9650793650794
Arizona	New Mexico	6397	56566.030303030304
