,China,Germany,United States,Japan,"Korea, Republic of",France,Italy,Netherlands,Mexico,United Kingdom,"Taiwan, Province of China",Canada,Belgium,Russian Federation,Singapore,Spain,India,Switzerland,Malaysia,Australia,Viet Nam,Brazil,Thailand,Poland,Indonesia,Saudi Arabia,Czech Republic,Turkey,Ireland,Austria,Sweden,Hong Kong,United Arab Emirates,South Africa,Hungary,Norway,Philippines,Denmark,Slovakia,Finland,Chile,Romania,Iraq,Portugal,Argentina,Qatar,Israel,Nigeria,Ukraine,Peru
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,0.0,719479.0,3230.0,1625.0,1576.0,7098.0,16342.0,19959.0,769.0,8767.0,1120.0,4654.0,13731.0,0.0,3157.0,8660.0,556.0,67079.0,772.0,5747.0,1531.0,1222.0,1281.0,26395.0,415.0,2611.0,9749.0,14452.0,10870.0,94662.0,15602.0,2038.0,5178.0,949.0,30565.0,11594.0,992.0,14590.0,11562.0,8171.0,1779.0,68789.0,0.0,13243.0,1442.0,3871.0,0.0,2269.0,5290.0,964.0
United States,0.0,3230.0,212464.0,2328.0,2439.0,1791.0,2619.0,3091.0,10888.0,5261.0,1607.0,10448.0,2243.0,0.0,4302.0,3316.0,780.0,4693.0,827.0,6142.0,1064.0,1511.0,710.0,1133.0,324.0,1328.0,1278.0,650.0,6761.0,2710.0,3449.0,3248.0,3616.0,1074.0,1472.0,3690.0,2896.0,2982.0,1043.0,2147.0,2311.0,1688.0,0.0,2969.0,1488.0,3027.0,0.0,3573.0,1125.0,2260.0
Japan,0.0,1625.0,2328.0,605235.0,8434.0,1436.0,1521.0,1398.0,313.0,1713.0,8957.0,2654.0,1260.0,0.0,10292.0,1166.0,248.0,3180.0,2566.0,4713.0,17507.0,1641.0,3090.0,431.0,1933.0,1257.0,918.0,426.0,1513.0,1518.0,1445.0,10246.0,3520.0,160.0,793.0,1298.0,6991.0,1330.0,528.0,1741.0,494.0,521.0,0.0,1181.0,417.0,4034.0,0.0,406.0,358.0,1259.0
"Korea, Republic of",0.0,1576.0,2439.0,8434.0,1758296.0,915.0,896.0,1075.0,321.0,1212.0,5740.0,3676.0,749.0,0.0,8800.0,777.0,215.0,1968.0,3422.0,4343.0,11846.0,262.0,13850.0,408.0,1628.0,1257.0,836.0,441.0,1239.0,1145.0,1041.0,7227.0,3160.0,346.0,785.0,1018.0,4125.0,881.0,521.0,993.0,369.0,423.0,0.0,724.0,343.0,3348.0,0.0,623.0,516.0,425.0
France,0.0,7098.0,1791.0,1436.0,915.0,550941.0,9863.0,6873.0,652.0,6233.0,726.0,7921.0,40013.0,0.0,2656.0,9049.0,213.0,41110.0,498.0,3684.0,516.0,1152.0,604.0,2600.0,219.0,1602.0,2663.0,2940.0,6897.0,6431.0,4514.0,2064.0,4320.0,706.0,2669.0,3943.0,576.0,3961.0,2162.0,3160.0,1493.0,14300.0,0.0,42322.0,1320.0,3871.0,0.0,1002.0,1791.0,856.0
Italy,0.0,16342.0,2619.0,1521.0,896.0,9863.0,1759672.0,9112.0,888.0,11968.0,652.0,3824.0,14332.0,0.0,2302.0,15696.0,403.0,65202.0,806.0,5875.0,181.0,2131.0,520.0,4140.0,327.0,2647.0,4446.0,1283.0,11827.0,17629.0,5577.0,1983.0,6228.0,618.0,4709.0,5096.0,2486.0,6547.0,4486.0,4415.0,2023.0,59631.0,0.0,8703.0,4058.0,4544.0,0.0,3427.0,7682.0,4115.0
Netherlands,0.0,19959.0,3091.0,1398.0,1075.0,6873.0,9112.0,2765932.0,666.0,11637.0,1226.0,5852.0,88222.0,0.0,4751.0,10020.0,502.0,21266.0,914.0,8011.0,438.0,1320.0,1054.0,33589.0,881.0,2002.0,5995.0,8235.0,14881.0,17798.0,15420.0,3216.0,4720.0,2080.0,14995.0,14412.0,1137.0,14511.0,8509.0,9228.0,1341.0,21652.0,0.0,18785.0,1217.0,3254.0,0.0,1363.0,2578.0,842.0
Mexico,0.0,769.0,10888.0,313.0,321.0,652.0,888.0,666.0,449227.0,478.0,173.0,2399.0,600.0,0.0,287.0,3400.0,152.0,1359.0,193.0,483.0,181.0,1254.0,113.0,223.0,210.0,336.0,349.0,226.0,953.0,692.0,441.0,259.0,557.0,228.0,366.0,427.0,614.0,450.0,309.0,419.0,4182.0,409.0,0.0,880.0,5546.0,427.0,0.0,490.0,283.0,8049.0
United Kingdom,0.0,8767.0,5261.0,1713.0,1212.0,6233.0,11968.0,11637.0,478.0,771894.0,1044.0,10675.0,8675.0,0.0,9981.0,11360.0,1484.0,15031.0,2357.0,27247.0,521.0,1540.0,1185.0,22410.0,327.0,3190.0,7859.0,2633.0,92677.0,9074.0,10874.0,13491.0,13775.0,4054.0,16668.0,12832.0,2213.0,10440.0,16014.0,6821.0,902.0,57742.0,0.0,26369.0,889.0,8643.0,0.0,6997.0,1917.0,503.0
"Taiwan, Province of China",0.0,1120.0,1607.0,8957.0,5740.0,726.0,652.0,1226.0,173.0,1044.0,1630723.0,2972.0,738.0,0.0,26843.0,591.0,130.0,1540.0,16889.0,5936.0,13455.0,150.0,3863.0,349.0,7310.0,1306.0,684.0,241.0,1001.0,904.0,674.0,53109.0,2650.0,222.0,440.0,581.0,7276.0,670.0,391.0,620.0,236.0,307.0,0.0,418.0,233.0,2360.0,0.0,409.0,201.0,201.0
