iso2_o,iso2_d,export
AD,AG,1.878
AD,AM,1.3824548
AD,AR,28.543
AD,AT,1345.523105
AD,BA,5.265000000000001
AD,BB,28.551652800000003
AD,BE,298.966
AD,BG,16.766
AD,BI,23.476
AD,BR,29.314283
AD,BY,3.5999999999999996
AD,CA,175.7643273
AD,CH,351.037168
AD,CL,565.434
AD,CM,45.333
AD,CN,85.995
AD,CO,754.683
AD,CV,100.49571019999999
AD,CZ,211.39872140000003
AD,DE,2068.079717
AD,DK,7.753
AD,DO,1.595
AD,EE,18.3664998
AD,ES,31127.8208801
AD,FI,1685.567257
AD,FR,16158.5856113
AD,GB,313.87
AD,GR,697.010682
AD,GY,153.572845
AD,HK,192.37454
AD,HN,98.87
AD,HU,1.153
AD,ID,32.328
AD,IE,82.1427386
AD,IL,34.0
AD,IS,9.954
AD,IT,564.9558016999999
AD,JP,20.39
AD,KR,114.54084569999999
AD,KW,1910.662
AD,LK,15148.0548695
AD,LT,27.973000000000003
AD,MD,44.4452727
AD,MK,40.169301999999995
AD,ML,58.359
AD,MM,55.936471999999995
AD,MR,6359.8246307
AD,MX,819.7103682
AD,MY,292.5355737
AD,MZ,16.084
AD,NG,277.06955
AD,NL,3426.2439999999997
AD,NO,3293.9910000000004
AD,NZ,1.009
AD,PE,1.83
AD,PH,1477.3545861
AD,PL,1580.374253
AD,PT,178.454
AD,PW,44.7661871
AD,RO,56.223
AD,RU,4.241
AD,SC,13.6411754
AD,SE,11.600000000000001
AD,SG,253.535576
AD,SI,39.4714417
AD,SK,142.586001
AD,SV,77.2939635
AD,TG,1.762
AD,TN,22.606
AD,TR,80.414
AD,TZ,64.557
AD,UA,3.522
AD,US,13316.7544523
AD,UY,41.6768555
AD,ZA,182.0573662
AD,ZM,95.95605789999999
AE,AG,3215.8091877
AE,AL,102.354
AE,AM,85656.2393647
AE,AR,45336.1838491
AE,AT,127788.7504887
AE,AU,1446461.6379534001
AE,AZ,8215.5210306
AE,BA,8182.9723142
AE,BB,189.8154118
AE,BE,2517296.6271473
AE,BG,30101.7895586
AE,BI,49978.2873931
AE,BM,36.8559247
AE,BN,5030.8247843
AE,BO,6792.1285197
AE,BR,169071.8663381
AE,BY,11499.3498542
AE,BZ,3434.3238432000003
AE,CA,104076.24599750001
AE,CG,38660.4324978
AE,CH,9977883.0285138
AE,CL,41713.5244575
AE,CM,57752.0857628
AE,CN,11405198.9086274
AE,CO,17416.849445
AE,CV,512.5459398
AE,CY,22428.5954356
AE,CZ,94732.3006052
AE,DE,1084374.9895555
AE,DK,22972.1172185
AE,DO,8513.1756709
AE,DZ,219395.603
AE,EC,13067.7813262
AE,EE,3214.9324828999997
AE,EG,791499.6847498
AE,ES,367622.2060844
AE,FI,11066.3527909
AE,FJ,4133.8137681
AE,FR,1151511.0544604
AE,GB,2148624.2610713
AE,GE,141934.94999999998
AE,GH,299823.5405044
AE,GR,62236.6322569
AE,GY,2360.1895557
AE,HK,2814676.3364574
AE,HN,389.119936
AE,HR,60.327034899999994
AE,HU,11910.5287461
AE,ID,2036502.6446254
AE,IE,27710.4988711
AE,IN,22112441.1588199
AE,IS,684.5076578
AE,IT,1102884.3946861
AE,JM,3645.6134791
AE,JO,973114.9522733
AE,JP,18857565.0598188
AE,KE,1266837.5508404
AE,KG,8582.4418981
AE,KN,70.17058999999999
AE,KR,8888407.5959362
AE,KW,2874099.4217575
AE,KZ,83464.7212076
AE,LK,1471035.6320829
AE,LT,3294.3816157
AE,LV,5881.8569245
AE,MD,1858.1216214
AE,MG,257525.2751126
AE,MK,1683.930228
AE,ML,35731.2889791
AE,MM,92793.4468638
AE,MR,293561.69049269997
AE,MU,106051.87520099999
AE,MX,378439.8619462
AE,MY,2906801.5467817998
AE,MZ,58757.3609847
AE,NG,346748.1306879
AE,NI,335.9383768
AE,NL,1108402.2188535
AE,NO,46017.9531654
AE,NP,172932.6068259
AE,NZ,1278323.1338984
AE,OM,10085448.3806176
AE,PE,21346.678259700002
AE,PH,797073.0539172001
AE,PL,192928.43943949998
AE,PT,18461.9699072
AE,PW,2.3993111
AE,PY,59618.281174
AE,RO,50937.0543714
AE,RU,167563.9474627
AE,SB,78.140545
AE,SC,138623.2674852
AE,SE,49852.8993902
AE,SG,7966337.1852437
AE,SI,5801.012400199999
AE,SK,17536.8238634
AE,SL,52721.0218125
AE,SN,154952.2158287
AE,SR,1142.1931729
AE,ST,1386.3966052
AE,SV,9221.6185475
AE,TG,21656.4916245
AE,TN,131808.2020562
AE,TR,5532546.0651223
AE,TZ,561946.4290095001
AE,UA,53817.5990378
AE,UG,622333.0916186
AE,US,3264727.3704712
AE,UY,32914.2906477
AE,VC,113.97258970000001
AE,ZA,1329310.3256064001
AE,ZM,313633.1237079
AF,AM,1.4077591
AF,AR,41.783596100000004
AF,AT,243.332835
AF,AU,285.1599076
AF,BA,1.9962825
AF,BB,15.644072600000001
AF,BE,2226.5924693
AF,BG,85.59344759999999
AF,BN,2.882
AF,BO,128.7040984
AF,BR,215.3148844
AF,BY,810.7752429
AF,CA,2465.539127
AF,CH,610.4490509
AF,CL,261.157
AF,CM,8.618
AF,CN,2849.4235113
AF,CO,996.4911734
AF,CZ,133.7666395
AF,DE,8885.77225
AF,DK,151.4288473
AF,DO,81.917
AF,DZ,11.07
AF,EC,48.205
AF,EE,1.835
AF,EG,424.334558
AF,ES,1900.9363326999999
AF,FI,3682.2169999999996
AF,FR,8221.412333799999
AF,GB,2231.0572001
AF,GE,1.167
AF,GH,15.1563519
AF,HK,10.297
AF,HN,3.67
AF,HU,28.677
AF,ID,26.096
AF,IE,238.71373839999998
AF,IL,1.0
AF,IN,410983.2838316
AF,IS,141.377
AF,IT,1545.1021286
AF,JO,3379.7302480000003
AF,JP,156.74474
AF,KE,3.360508
AF,KG,237.1876256
AF,KN,2.347
AF,KR,262.3379239
AF,KW,189.46054049999998
AF,KZ,1960.9217543000002
AF,LK,102.30981999999999
AF,LT,85.318
AF,MD,54.896
AF,MK,1.391
AF,ML,18.043
AF,MM,664.8017537
AF,MU,2.511
AF,MX,2949.3540358
AF,MY,344.70351800000003
AF,MZ,55.339845499999996
AF,NI,8.767
AF,NL,2973.1842051
AF,NO,231.14947560000002
AF,NP,6.045166
AF,NZ,61.484930399999996
AF,OM,5.0756338
AF,PE,23.916472
AF,PH,4.25
AF,PL,516.88323
AF,PT,464.91551999999996
AF,RO,104.44083
AF,RU,1964.316285
AF,SC,1.259
AF,SE,284.0569535
AF,SG,318.9499903
AF,SI,20.037755999999998
AF,SK,8.168000000000001
AF,SN,205.95481230000001
AF,TG,2.301
AF,TN,98.8311511
AF,TR,8713.532714
AF,TZ,75.3042867
AF,UA,75.787588
AF,US,8210.6926671
AF,UY,76.866
AF,ZA,193.582
AF,ZM,25.657000000000004
AG,AE,5.031
AG,AI,165.745
AG,AR,31.181
AG,AT,33.060507799999996
AG,AU,2593.4623267
AG,AW,17.292
AG,BA,1.289337
AG,BB,548.931554
AG,BE,3620.0819638999997
AG,BM,9353.395999999999
AG,BR,32.003
AG,BS,30.642
AG,BY,9.9
AG,BZ,234.2999475
AG,CA,222.9333067
AG,CG,18.355
AG,CH,46.336999999999996
AG,CM,54265.020559000004
AG,CN,55.63
AG,CO,74.795
AG,CU,1.111
AG,CZ,75.4073968
AG,DE,1358.0428297
AG,DK,129.9815284
AG,DM,2191.544
AG,DO,6869.833404500001
AG,DZ,7.205
AG,EG,4.1514297
AG,ES,10429.260371
AG,FJ,49.143
AG,FR,1250.922598
AG,GB,16666.8703532
AG,GD,8.949
AG,GH,1958.139363
AG,GT,1.315
AG,GY,530.2616839
AG,HK,148.862
AG,HN,1.851
AG,HT,3.37
AG,HU,20.455
AG,ID,19.3035683
AG,IE,14.8031138
AG,IN,19.162
AG,IT,2234.9391671
AG,JM,89.10372790000001
AG,KN,2185.9983794
AG,KP,1.851
AG,KR,2377.2306044999996
AG,LC,965.435
AG,LK,83.921007
AG,LT,1.137
AG,LV,14.257
AG,MD,38.09503
AG,ML,28.370430499999998
AG,MM,3.44
AG,MR,39.576467
AG,MS,537.4879999999999
AG,MU,74.793632
AG,MX,289.0666645
AG,MY,11.11
AG,MZ,5.911999999999999
AG,NI,27.53
AG,NL,519.5205181
AG,NO,2.964
AG,NZ,70.116
AG,PE,12.462
AG,PF,254.94299999999998
AG,PH,2528.5904
AG,PK,47.406000000000006
AG,PL,99644.1411872
AG,RO,7.794
AG,SC,65.42556979999999
AG,SE,433.3835696
AG,SG,4.172000000000001
AG,SK,54.0950134
AG,SN,2860.0884057000003
AG,SR,6102.80198
AG,ST,1.8
AG,SV,5.114
AG,TC,95.27499999999999
AG,TH,107.77699999999999
AG,TR,518.6136988000001
AG,TT,324.903
AG,TW,107.74000000000001
AG,TZ,8.476147000000001
AG,US,11524.5656399
AG,VC,461.33146239999996
AG,VG,234.124
AG,ZA,63.493
AG,ZM,2.3758333
AI,AG,72.6587598
AI,AM,191.89218340000002
AI,AT,39.757
AI,AU,200.84476
AI,AZ,242.333
AI,BB,8.164
AI,BE,66.89
AI,BM,2.1
AI,BR,89.2709756
AI,BY,1.8
AI,BZ,3.511
AI,CA,4.448
AI,CM,157.853
AI,CZ,97.349
AI,DE,19.493000000000002
AI,DK,14.813485
AI,ES,1.325
AI,FJ,21.8114166
AI,FR,1263.9151305
AI,GB,147.08558599999998
AI,GR,1242.384
AI,GY,26.367
AI,ID,139.78518400000002
AI,IE,1.6916248
AI,IL,276.47459299999997
AI,IT,24.292
AI,JP,3.21
AI,KG,1.407
AI,KN,384.4295766
AI,KR,87.923745
AI,KZ,40.042
AI,LK,8.377
AI,MX,80.08200000000001
AI,NZ,95.5915074
AI,PH,13.570040200000001
AI,PL,52.601
AI,RU,6.0489999999999995
AI,SB,3.472
AI,SE,471.716461
AI,SG,13.259
AI,SK,141.147931
AI,TR,1.738
AI,UA,6.046
AI,US,3846.597886
AI,UY,3.8664353
AI,VC,1.001
AL,AE,2033.804
AL,AM,358.665
AL,AR,255.96238540000002
AL,AT,24042.8131394
AL,AU,1806.787863
AL,AZ,63.154
AL,BA,12879.4329875
AL,BB,15.853091500000001
