,China,Germany,United States,Japan,"Korea, Republic of",France,Italy,Netherlands,Mexico,United Kingdom,"Taiwan, Province of China",Canada,Belgium,Russian Federation,Singapore,Spain,India,Switzerland,Malaysia,Australia,Viet Nam,Brazil,Thailand,Poland,Indonesia,Saudi Arabia,Czech Republic,Turkey,Ireland,Austria,Sweden,Hong Kong,United Arab Emirates,South Africa,Hungary,Norway,Philippines,Denmark,Slovakia,Finland,Chile,Romania,Iraq,Portugal,Argentina,Qatar,Israel,Nigeria,Ukraine,Peru
China,0.0,108569170.6769499,459218104.3070851,156608086.3535491,98124339.0530541,52564357.2175728,31844139.2168543,49063026.6698061,51890026.3554617,58799934.3160467,42928280.328,49518754.8147003,17595336.6263099,43674964.728384,45850438.5221898,28509306.3628231,68284995.8104681,13223224.2747558,37880080.5344149,47856558.1331759,70614926.833,27076688.8330324,38281487.671,25704584.0454238,34310292.5729505,18283413.081,19689257.1877701,22977264.9601996,4506512.5603036,8842740.1319084,6956156.2307903,255782360.6403176,28577480.21,15501011.273941,5780399.1956791,8147308.3539591,22919391.1546792,6113413.8059669,5579605.4598421,4938525.0678405,15283155.0071222,4238138.4039276,8305464.519,2381675.6871337,12593936.3178585,1668151.354,5904427.9243446,9915498.8984119,5589082.3142025,8755330.5247303
Germany,95086360.4592416,0.0,112006512.9478265,22449249.3758785,19691821.0489535,105069968.7711834,72192340.6866043,84749116.2859779,14855766.8526344,90414686.4906867,8444304.065,11987767.2557756,58690389.3419333,27409538.2944004,7836328.7032119,43745819.4677057,12035584.5557519,54593735.7459957,5780133.1048503,9325233.9164192,3811270.465,9277404.4758923,5159072.817,55743498.2110957,3252935.139623,7192636.422,42524336.3991536,22498384.8625154,8431578.5138824,62970276.3019754,27396268.3543593,7752816.6073295,12247701.222,7367683.8532141,26119746.1260166,9611908.215985,2459128.8993714,18206758.8292405,14482993.7014366,10864437.2899996,2631458.5498039,16316512.1614687,738032.574,10625519.3589481,3261252.3844381,2007653.096,4166183.308777,1162246.4776968,5557108.2778481,1066913.3938284
United States,134058712.59718692,62350717.6190065,0.0,68560647.9745572,49176519.8746472,36928625.6777417,16636658.5784919,35721819.0450894,181929992.2992609,46604234.0462317,11172139.642,152321904.2712662,29740747.8129087,10782117.9739245,23998810.235079,14985123.9927137,22850355.8371876,21288752.5476955,14661380.4728364,20501788.6109114,4982565.343,20545841.684644,5437775.622,6073248.3648641,7550657.2153413,7705130.899,3692770.523584,11313110.8871444,17142034.7396589,5852482.156665199,3518048.6528915,30716776.6436771,8722075.757,5449710.9517223,2036684.8103078,5486025.873634,7880569.5079286,1731670.0133126,856017.1754195,2042354.4133686,11448607.7997346,1247752.4228178,622386.99,1036095.4546927,7335363.9576012,826412.43,6870985.7904275,2001119.5082422,2329893.0713582,7739924.1122007
Japan,137903073.0952888,24477290.8589209,125044147.4127208,0.0,54142858.1660092,10543149.7655212,4763748.9207547,9554654.3618982,14831586.9455897,14513471.497665,32960022.267,11760179.0190352,9809068.5035346,7186826.3973796,17318885.1108551,4269399.4605503,9369261.4331062,5692378.060631,13418907.2247351,16333214.6418866,13325463.207,3428117.7316115,26425476.648,3476832.4471284,13467169.5107408,3676778.259,2704107.7885692,4203820.3099306,1201555.4056454,2233285.8608961,1273062.7124435,32227737.5103097,6972656.471,2229513.6513301,1436464.9316017,1710735.5505249,11553165.5878817,318973.2778511,566936.2496303,764565.3017048,2107908.6575072003,394391.816944,277973.68,442690.1720648,1035503.4211833,1148240.644,1975377.120056,407001.2059617,689139.6971775,1014224.5002999
"Korea, Republic of",150254435.283706,11881002.956301,66689159.1189993,26841148.2251738,0.0,3754605.6609557,3865858.3183001,4333792.9638292,11130979.1363055,9199204.9952238,14896487.867,5977142.2963751,3060577.2531581,7024344.4427424,20498594.7522391,3760941.3658494,15298148.0185479,742757.6494867,8172216.7448918,18696638.5603814,47748656.972,5411811.0393758,7461327.972,3543117.0675793,8009077.8577044,5146682.794,3955163.4308802,6348947.8804369,1080154.4809379,972155.8835985,960283.4475212,34894821.5042859,5387927.099,1039023.6877345,1396149.2540865,5691685.8923016,11238234.1280098,1229209.8560424,4277319.3848668,627786.4002989,1797246.64298,466256.3567412,1461550.924,462563.6785359,847524.8587841,435280.367,1118535.2899641,2173232.5991823,317371.7702465,1014114.665867
France,22152772.7052829,69976181.9144786,35581136.2331698,9286313.8322273,6369459.0141522,0.0,39638044.6886309,18407847.9039899,4041343.2456478,35962128.7487537,3090182.583,4084952.2423873,39651360.7487075,7464706.942819499,7875977.0022017,37681418.9370607,5234165.558157,16444119.1769685,2572036.666737,3048416.4507752,1778133.124,3721372.5601117,2557495.237,9012799.4252312,1939301.9298119,5050425.101,5105539.2389645,7892587.1694471,7191229.8026809,4397952.1745525,5788837.4508112995,6508051.0061217,3794246.548,2114373.4775706,4005615.6171809,2487228.0006739,965122.8561557,2900705.2658951,2879547.9360709,2416426.5632295,1290770.4853485,4416099.40573,364978.328,5730743.5509421,1352270.7897788,2232435.032,1532974.4849128,750509.8924156,1388497.2788314,350793.0010382
Italy,16325998.7692841,58796959.0942346,44747595.8283927,8338953.1725958,5434535.7618812,48286556.3972978,0.0,11521113.2066965,5407582.9681903,24922056.0355912,1659146.087,5389172.9651303,15233184.4311868,9136239.8138988,3216415.2056574,23457105.2972652,4141606.2822904,20687939.5335079,1596204.6676969,4090571.1236208,1318642.3,4090014.2975896,1585960.546,12205362.1896909,1405263.0885103,4376511.919,6765507.9374946,11375349.3216011,2251891.4461533,10333460.7571363,4537157.8232792,6295856.409307,5948670.466,2258923.4754843,4536730.3280728,2478003.7568492,809415.3374408,3028094.5524617,3066406.1409171,1734086.9141159,1170911.3044144,8022301.7659822,641494.032,4263794.9988332,1696194.1622698,1040144.949,2469405.5742861,526744.9476261,1637102.7996078,823126.9518032
Netherlands,11884767.1999136,90013834.2508522,16339326.0199245,2999943.5943897,6317587.471485,29791417.1518161,24773546.2712152,0.0,2471008.3591845,46980061.5570776,3663199.465,3074946.2446127,67592852.8901246,4667909.905418,5140060.965041,14134725.2834738,2340638.9565128,5239539.9644696005,1750904.7372563,1720046.067479,939234.341,2011959.8076811,1170935.531,8773398.3445076,1032241.3893284,2912374.692,4735820.3623902,4163827.741853,3026221.1464732,4851675.4584025,11917475.9510718,2667147.2452749,3161627.442,1376885.8193115,4833081.8758057,3560882.1711463,681904.6474887,6668283.388475,1326458.1232018,3767595.4859739,523183.6234393,3233841.5959137,455064.054,4164971.7388077,594351.4276329,572216.025,2572242.1385299,2834313.9090195,735993.7245541,330191.7131992
Mexico,10473920.9711119,8760841.6874802,305139697.4203791,5507292.2281799,4165623.543964,2984977.7012949,1129873.2203854,1995409.1352508,0.0,3225652.2509194,378801.143,21230184.9991836,3980747.7048327,766081.6852481,1334601.5689292,4540788.642632401,3751849.7338863,1548065.2855278,851806.0921195,1896400.0553626,246227.13,3943000.8340283,538471.032,615162.6479749,339757.93998729996,147605.111,670002.3849633,750625.6081951,398461.4061855,439075.4196769,89227.2710364,924114.4691156,308171.24,504950.2052711,244895.1154609,230699.256454,178478.1430062,159172.7142874,113817.7679324,223120.6052539,2115487.0158932,141197.7044147,27131.668,177742.94261,2057029.6177153,30142.315,200445.9449987,35883.0665059,111408.5003203,1785838.5833385
United Kingdom,21964676.3303527,38699269.8322495,45219126.7588405,7086560.5843366,6652447.2281401,24878647.2482977,12593468.8087426,24976972.1219272,2034049.6831888,0.0,1491364.973,6156056.6349663,19527867.25968,4148764.1631094,4020698.9540275,12849955.2639211,4765209.2459858,19261098.1830089,1708843.7527544,4946643.7801959,733815.126,2358217.4316087,1591564.185,5368245.0469004,1075667.9593211,4931396.479,4031158.2361191,6843046.1647446,21016530.7628912,2604969.0999105,7259694.6718617,8343033.4571192,9572508.949,2383349.8247334003,1911391.4633061,3997078.9433664,659600.2974219,3313637.4405651,1894084.1651454,1874742.6102527,791265.4071539,1810942.9662465,412990.442,2084103.6025967,506081.5350768,3098626.337,3658940.6474772,1346794.9546777,758024.7653192,276462.4430409
